name	cholesterol	sodium	dietary_fiber	sugars	protein	vitamin_a_dv	vitamin_c_dv	calcium_dv	iron_dv	calories_from_fat	saturated_fat	trans_fat	carbohydrates
HoneyMustardSnackWrap®(Crispy)	-0.1140240951	0.6514101483	-0.0322227943	-1.3355909411	0.3503024932	-0.2877169696	-0.1429773584	-0.5992014926	0.5917209564	0.7240268734	0.0277872435	-0.4298628772	-0.9132725622
HoneyMustardSnackWrap®(Grilled)	0.5806924449	0.9814545098	0.1179712875	-1.2870997537	1.1748749581	-0.2783021467	-0.1399527087	-0.4850079703	1.0524762851	0.0503173474	0.0590243459	-0.4298628772	-0.7841383513
ChipotleBBQSnackWrap®(Crispy)	-0.1140240951	0.6931879155	-0.0322227943	-1.3355909411	0.3503024932	-0.2582956479	-0.1429773584	-0.5992014926	0.5917209564	0.7240268734	0.0277872435	-0.4298628772	-0.8643580884
ChipotleBBQSnackWrap®(Grilled)	0.4247356706	1.0366011626	0.1179712875	-1.2370932168	1.1748749581	-0.2394660019	-0.1399527087	-0.4850079703	1.0524762851	0.0503173474	0.0590243459	-0.4298628772	-0.7841383513
AngusBacon&CheeseSnackWrap	0.6766658445	1.0981108908	-0.1044314875	-1.3589040119	0.7868198958	-0.2424533977	-0.1444315169	-0.6541022244	1.5885473887	1.0179854578	0.8387504792	2.7863083564	-1.3685534343
AngusChipotleBBQBacon†	0.5904397433	0.9297545228	0.2728589344	-1.2370932168	0.878688992	-0.2564568153	-0.1485304262	-0.5880497814	1.2306590099	0.7859487049	0.7891916148	2.7059040756	-1.1957536488
AngusChipotleBBQBaconSnackWrap†	0.6391762353	1.0159211678	-0.1143601829	-1.299601388	0.7353732019	-0.24432052	-0.1446314637	-0.661651075	1.5276302178	0.9610990281	1.0039466939	2.7059040756	-1.3168169716
AngusDeluxeSnackWrap	0.6035153875	0.8536756801	0.253970197	-1.395650529	0.5932225809	-0.2224159872	-0.1372139252	-0.668831689	1.4696846163	1.2487442743	0.9515674063	4.1590643708	-1.4644551701
AngusMushroom&SwissSnackWrap	0.5371696242	0.3594515653	0.2188283599	-1.4289787655	0.6842683465	-0.2719799836	-0.1524293888	-0.5452583316	1.3618788459	1.2407964434	0.854117569	3.9456258941	-1.5138967994
MacSnackWrap†	0.2404231192	0.6305212646	-0.0322227943	-1.3734746812	0.4661132327	-0.2877169696	-0.1524293888	-0.6705724439	1.3116511575	1.1486337175	0.6785602104	3.3710667625	-1.2556738792
